,DADRI_GF,DADRI_GF,DADRI_GF,DADRI_GF,DADRI_RF,DADRI_RF,DADRI_RF,DADRI_RF,DADRI_CRF,DADRI_CRF,DADRI_CRF,DADRI_CRF,DADRI_LF,DADRI_LF,DADRI_LF,DADRI_LF,Total,Total,Total,Total,Block_time,Block_time,Revision,Revision,Revision
,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,block_start,block_stop,revnumber,revdate,revtime
58,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,14:30,14:45,,,
59,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,14:45,15:00,,,
60,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,15:00,15:15,,,
61,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,15:15,15:30,,,
62,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,15:30,15:45,,,
63,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,15:45,16:00,,,
64,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,16:00,16:15,,,
65,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,16:15,16:30,,,
66,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,16:30,16:45,,,
67,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,16:45,17:00,,,
68,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,17:00,17:15,,,
69,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,17:15,17:30,,,
70,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,17:30,17:45,,,
71,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,17:45,18:00,,,
72,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,18:00,18:15,,,
73,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,18:15,18:30,,,
74,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,18:30,18:45,,,
75,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,18:45,19:00,,,
76,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,19:00,19:15,,,
77,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,19:15,19:30,,,
78,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,19:30,19:45,,,
79,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,19:45,20:00,,,
80,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,20:00,20:15,,,
81,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,20:15,20:30,,,
82,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,20:30,20:45,,,
83,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,20:45,21:00,,,
